electorate,candidate,party,votes,source_url,1st_pref_votes
Narracan supplementary election,"ABELMAN, Michael",Liberal Democrats,3.56%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,1325
Narracan supplementary election,"WOLFE, Tony",,11.05%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,4110
Narracan supplementary election,"WEAVER, Alyssa",Australian Greens,11.11%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,4132
Narracan supplementary election,"CRAM, Austin",Animal Justice Party,2.28%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,849
Narracan supplementary election,"DE WIT, Sophia Camille",Labour DLP,7.10%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,2641
Narracan supplementary election,"MURPHY, Casey",Pauline Hanson's One Nation,6.04%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,2246
Narracan supplementary election,"HONEY, Ian",,1.02%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,381
Narracan supplementary election,"CLARKE, Brendan",Family First Victoria,2.93%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,1089
Narracan supplementary election,"BLACKWELL, Leonie",Freedom Party of Victoria,6.06%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,2254
Narracan supplementary election,"FARNHAM, Wayne",Liberal,45.00%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,16741
Narracan supplementary election,"McCABE, Annemarie",,3.86%,https://www.vec.vic.gov.au/results/state-election-results/state-by-elections-timeline/narracan-district-supplementary-election-results,1437
Albert Park results,"DRAGWIDGE, Georgie",,5.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,2294
Albert Park results,"TAYLOR, Nina",Australian Labor Party - Victorian Branch,36.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,14254
Albert Park results,"SAMIOTIS, Kim",Australian Greens,20.91%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,8178
Albert Park results,"ANTUNOVIC, Elizabeth",Freedom Party of Victoria,1.32%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,518
Albert Park results,"BRADEA, Viorel",Family First Victoria,1.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,466
Albert Park results,"SHERSON, Lauren",Liberal,29.81%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,11659
Albert Park results,"SMART, Lance",Liberal Democrats,1.37%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,534
Albert Park results,"WESTWOOD, Cassandra",Animal Justice Party,3.09%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/albert-park-district-results,1207
Ashwood results,"JUDAH, Asher",Liberal,37.17%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,16618
Ashwood results,"SALOUMI, Lynnette",,1.57%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,704
Ashwood results,"FREGON, Matt",Australian Labor Party - Victorian Branch,40.29%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,18014
Ashwood results,"MORGAN, Peter",Australian Greens,14.79%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,6612
Ashwood results,"BAKER, Norman F.",Freedom Party of Victoria,1.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,568
Ashwood results,"GRIFFITHS, Milton",Animal Justice Party,1.97%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,880
Ashwood results,"GEYER, Keith",Family First Victoria,1.89%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,847
Ashwood results,"DOYLE, Michael",,1.04%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/ashwood-district-results,467
Bass results,"TESSARI, Brett",The Nationals,13.30%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,5506
Bass results,"O'NEILL, Mark",Labour DLP,3.54%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,1465
Bass results,"MUNDAY, Marcus",Freedom Party of Victoria,2.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,1013
Bass results,"VERHAGEN, Martin",Family First Victoria,2.81%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,1164
Bass results,"CRUGNALE, Jordan",Australian Labor Party - Victorian Branch,32.55%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,13478
Bass results,"MOUSELLIS, Elly",Animal Justice Party,2.62%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,1085
Bass results,"BROWN, Aaron",Liberal,30.15%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,12482
Bass results,"EDWARDS, Meg",,2.11%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,872
Bass results,"BUGBIRD, Callum",Australian Greens,8.14%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,3369
Bass results,"JOBE, Jeni",,2.34%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bass-district-results,970
Bayswater results,"COOMBES, Gary",Family First Victoria,3.28%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,1397
Bayswater results,"FIELD, Chris",Freedom Party of Victoria,2.20%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,937
Bayswater results,"WORMALD, Alyssa",Animal Justice Party,1.97%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,840
Bayswater results,"MACKALLAH, Chloe",,2.09%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,890
Bayswater results,"WAKELING, Nick",Liberal,35.62%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,15174
Bayswater results,"DOLAN, Thomas",Labour DLP,2.23%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,948
Bayswater results,"TAYLOR, Jackson",Australian Labor Party - Victorian Branch,41.34%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,17609
Bayswater results,"HEAP, Ashley",Legalise Cannabis Victoria,3.88%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,1653
Bayswater results,"SIRNINGER RANKIN, Nadia",Australian Greens,7.40%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bayswater-district-results,3151
Bellarine results,"SEMMENS, Rachel",Australian Greens,11.74%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,5537
Bellarine results,"GRIGAU, Donnie",Liberal,33.12%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,15617
Bellarine results,"MANUELL, Guy",Family First Victoria,2.19%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,1033
Bellarine results,"RITCHIE, Brett Anthony",Derryn Hinch's Justice Party,1.63%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,770
Bellarine results,"MUSE, Kylee",Freedom Party of Victoria,0.97%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,458
Bellarine results,"TAYLOR, Brendan",Angry Victorians Party,0.82%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,389
Bellarine results,"MARCHANT, Alison",Australian Labor Party - Victorian Branch,42.63%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,20103
Bellarine results,"CARDILINI, Adam",Animal Justice Party,2.31%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,1088
Bellarine results,"FENTON, Sarah",,4.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bellarine-district-results,2158
Benambra results,"FUERY, Mike",Animal Justice Party,2.84%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,1170
Benambra results,"ROSSITER, Dean",Liberal Democrats,1.95%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,804
Benambra results,"BRADY, Luke",Australian Greens,3.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,1592
Benambra results,"HAWKINS, Jacqui",,31.70%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,13038
Benambra results,"STRATTON, Janelle",Family First Victoria,1.98%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,815
Benambra results,"TILLEY, Bill",Liberal,42.93%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,17658
Benambra results,"TAIT, Mark",Australian Labor Party - Victorian Branch,13.07%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,5375
Benambra results,"O'BRIEN, Adrian James",Freedom Party of Victoria,1.66%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/benambra-district-results,683
Bendigo East results,"McLELLAND-HOWE, Vyonne",Animal Justice Party,3.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,1574
Bendigo East results,"SCHADE, Darin",Liberal,27.38%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,12478
Bendigo East results,"MIHAIL, Ben",Pauline Hanson's One Nation,5.70%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,2597
Bendigo East results,"KEETELAAR, Evelyn",Family First Victoria,2.99%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,1362
Bendigo East results,"TOLHURST, Michael James",Australian Greens,8.66%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,3944
Bendigo East results,"LAURIE, James",,3.52%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,1603
Bendigo East results,"ALLAN, Jacinta",Australian Labor Party - Victorian Branch,48.30%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-east-district-results,22010
Bendigo West results,"SERPELL, Steve",Family First Victoria,4.23%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,1704
Bendigo West results,"PRICE, Ken",Liberal,24.99%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,10057
Bendigo West results,"MAXWELL, Victoria",Animal Justice Party,2.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,1040
Bendigo West results,"NUSKE, Marilyn",,0.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,349
Bendigo West results,"WOOLLEY, Richard James",Freedom Party of Victoria,1.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,606
Bendigo West results,"BANSEMER, Matt",,2.43%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,979
Bendigo West results,"EDWARDS, Maree",Australian Labor Party - Victorian Branch,46.47%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,18704
Bendigo West results,"SEARLE, James",Australian Greens,11.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,4634
Bendigo West results,"TAYLOR, Wayne",Legalise Cannabis Victoria,5.40%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bendigo-west-district-results,2175
Bentleigh results,"GNIESLAW, Simon",,1.75%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,789
Bentleigh results,"STAIKOS, Nick",Australian Labor Party - Victorian Branch,45.78%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,20656
Bentleigh results,"GALLI-MCROSTIE, Alana",Australian Greens,10.74%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,4845
Bentleigh results,"HARRIS, David",Animal Justice Party,2.43%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,1098
Bentleigh results,"RYAN, Paul",Family First Victoria,2.95%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,1331
Bentleigh results,"TAYLOR-HAYNES, Debbie",Liberal,36.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bentleigh-district-results,16401
Berwick results,"PERRY, Hayley",Australian Greens,9.70%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,4297
Berwick results,"HAUPT, Kerry",Freedom Party of Victoria,3.54%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,1570
Berwick results,"DOLHEGUY, Katherine",Animal Justice Party,2.32%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,1029
Berwick results,"BATTIN, Brad",Liberal,45.23%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,20031
Berwick results,"van der HORST, Joel",Family First Victoria,3.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,1488
Berwick results,"ZAVEER, Malik",Australian Labor Party - Victorian Branch,35.84%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/berwick-district-results,15874
Box Hill results,"TSENG, Wayne",,1.05%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,464
Box Hill results,"FOLLONI, Sebastian",Animal Justice Party,1.86%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,824
Box Hill results,"LISTON, Cameron",,0.98%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,435
Box Hill results,"RIERA, Alicia",Freedom Party of Victoria,1.22%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,541
Box Hill results,"WERNER, Nicole Ta-Ei",Liberal,35.15%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,15593
Box Hill results,"SHAN, Joanne",Australian Greens,14.13%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,6267
Box Hill results,"DEAN, Paul",Labour DLP,2.44%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,1083
Box Hill results,"ONG, Gary",Family First Victoria,1.82%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,809
Box Hill results,"HAMER, Paul",Australian Labor Party - Victorian Branch,41.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/box-hill-district-results,18340
Brighton results,"TIMMS, Allan L.",,0.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,211
Brighton results,"SCIOLA, Nick",Family First Victoria,1.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,558
Brighton results,"DEKIERE, Sarah",Australian Greens,13.79%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,5680
Brighton results,"GIBSON, Sally",,2.28%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,941
Brighton results,"FREDERICO, Felicity",,9.10%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,3749
Brighton results,"WALKER, Alicia",Animal Justice Party,2.07%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,851
Brighton results,"NEWBURY, James",Liberal,45.61%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,18791
Brighton results,"CRAWFORD, Louise",Australian Labor Party - Victorian Branch,24.67%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,10164
Brighton results,"CASLEY, John Tiger",,0.61%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brighton-district-results,251
Broadmeadows results,"DUZOVA, Baris",Liberal,23.13%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,8044
Broadmeadows results,"HASSAN, Omar",Victorian Socialists,8.04%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,2795
Broadmeadows results,"HUYBREGTS, Arie",,1.04%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,362
Broadmeadows results,"MATTHEWS-WARD, Kathleen",Australian Labor Party - Victorian Branch,45.71%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,15899
Broadmeadows results,"SUTTER, Ben",Fiona Patten's Reason Party,2.34%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,815
Broadmeadows results,"ELMUSTAPHA, Mohamad",,3.78%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,1316
Broadmeadows results,"TAM, Bienne",Family First Victoria,4.63%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,1611
Broadmeadows results,"AGUILUS, Joe",Australian Greens,8.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,2908
Broadmeadows results,"FEILD, Candace",Animal Justice Party,2.96%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/broadmeadows-district-results,1030
Brunswick results,"HELOU, Anthony",,1.27%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,551
Brunswick results,"WILLIAMS, Mike",Australian Labor Party - Victorian Branch,28.52%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,12392
Brunswick results,"JIMENEZ, Nahui",Victorian Socialists,8.07%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,3506
Brunswick results,"EVANS, Shea",Fiona Patten's Reason Party,4.45%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,1933
Brunswick results,"SHAKER, Lilian Sabry",Family First Victoria,1.22%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,529
Brunswick results,"NGUYEN, Minh Quan",Liberal,10.87%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,4723
Brunswick results,"LAMARCHE-BEAUCHESNE, Rachel",Animal Justice Party,1.61%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,699
Brunswick results,"TAYLOR, Kenneth Charles",,0.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,153
Brunswick results,"READ, Tim",Australian Greens,43.64%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/brunswick-district-results,18959
Bulleen results,"STAFFORD, Kellie",Australian Greens,10.65%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,4576
Bulleen results,"SABHLOK, Sanjeev",,0.98%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,419
Bulleen results,"STOKES, Jason",Family First Victoria,2.36%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,1014
Bulleen results,"VINCENT, David",,0.50%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,214
Bulleen results,"GUY, Matthew",Liberal,48.06%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,20645
Bulleen results,"PATRIKIOS, Voula",Freedom Party of Victoria,2.73%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,1172
Bulleen results,"ROGERS, Ian",Australian Labor Party - Victorian Branch,32.71%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,14052
Bulleen results,"JAFARI, Elnaz",Animal Justice Party,2.02%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bulleen-district-results,867
Bundoora results,"O'BRIEN, Julie",Australian Greens,13.17%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,5311
Bundoora results,"TOMAR, Sahil",Liberal,27.68%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,11167
Bundoora results,"KOELMEYER, Eric",,1.01%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,408
Bundoora results,"BROOKS, Colin",Australian Labor Party - Victorian Branch,47.82%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,19288
Bundoora results,"JONES, Ethan",Family First Victoria,3.21%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,1294
Bundoora results,"LU, Andrew",Freedom Party of Victoria,4.06%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,1637
Bundoora results,"HOLGATE, Bella",Animal Justice Party,3.05%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/bundoora-district-results,1231
Carrum results,"WILLIS, Damian",,2.28%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,986
Carrum results,"EREVNIDIS, Georgia",Freedom Party of Victoria,4.04%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,1750
Carrum results,"CAMERON, Jeremy",Family First Victoria,3.13%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,1354
Carrum results,"MACGREGOR OWEN, Taylor",Animal Justice Party,2.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,1201
Carrum results,"LILLICO, Jayde",Australian Greens,7.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,3282
Carrum results,"BUCHANAN, Bec",Liberal,30.35%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,13141
Carrum results,"KILKENNY, Sonya",Australian Labor Party - Victorian Branch,49.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/carrum-district-results,21586
Caulfield results,"KALTMANN, Nomi",,6.50%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,2643
Caulfield results,"EDWELL, Lynne",Family First Victoria,1.37%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,557
Caulfield results,"IAMPOLSKI, Rachel",Australian Greens,15.85%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,6447
Caulfield results,"MYERSON, Asher",Animal Justice Party,2.23%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,908
Caulfield results,"SOUTHWICK, David",Liberal,44.46%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,18088
Caulfield results,"HAREL, Lior",Australian Labor Party - Victorian Branch,27.78%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,11301
Caulfield results,"ABELMAN, Michael",Liberal Democrats,1.82%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/caulfield-district-results,739
Clarinda results,"WHITE, Caroline",,7.81%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,3167
Clarinda results,"HASTINGS, Karen",Family First Victoria,3.00%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,1215
Clarinda results,"WOLFE, Steve",Freedom Party of Victoria,1.96%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,794
Clarinda results,"VO, Hung",,2.77%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,1122
Clarinda results,"TAK, Meng Heang",Australian Labor Party - Victorian Branch,45.46%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,18441
Clarinda results,"RICHARDSON, Anthony",Liberal,28.58%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,11593
Clarinda results,"MOFFETT, Jessamine",Australian Greens,7.96%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,3227
Clarinda results,"LITCHFIELD, Sue",Animal Justice Party,2.48%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/clarinda-district-results,1005
Cranbourne results,"HARVEY, Bradley",Family First Victoria,5.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,2249
Cranbourne results,"NORTON, Chris",Labour DLP,5.01%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,2044
Cranbourne results,"PHILPOTT, Peter Bernard",Derryn Hinch's Justice Party,2.76%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,1126
Cranbourne results,"SINGH, Jagdeep",Liberal,27.51%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,11230
Cranbourne results,"RICHARDS, Pauline",Australian Labor Party - Victorian Branch,46.18%,https://www.vec.vic.gov.au/results/state-election-results/2022-state-election-results/results-by-district/cranbourne-district-results,18853
